legislator_id,nombre,distrito,bloque,mandato_inicio,mandato_fin,foto
HCDN1285,"Navarro, Graciela",Santiago del Estero,Frente de Todos,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1285.jpg
HCDN1516,"Nazario, Adriana Monica",Córdoba,Cordoba Federal,2015-12-10,2019-12-09,
HCDN1194,"Nebreda, Carmen Rosa",Córdoba,Frente para la Victoria - Pj,2009-12-10,2013-12-09,
HCDN2340,"Neder, Estela Mary",Santiago del Estero,Frente Civico por Santiago,2015-12-10,2019-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2340.jpg
HCDN2340,"Neder, Estela Mary",Santiago del Estero,Frente de Todos,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2340.jpg
HCDN2340,"Neder, Estela Mary",Santiago del Estero,Unión por la Patria,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2340.jpg
HCDN0035,"Negri, Mario Raul",Córdoba,Ucr,2011-12-10,2015-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN0035.jpg
HCDN0035,"Negri, Mario Raul",Córdoba,Ucr,2015-12-10,2019-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN0035.jpg
HCDN0035,"Negri, Mario Raul",Córdoba,Ucr,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN0035.jpg
HCDN2983,"Nieri, Lisandro",Mendoza,Ucr,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2983.jpg
HCDN2983,"Nieri, Lisandro",Mendoza,Ucr - Unión Cívica Radical,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2983.jpg
HCDN3177,"Niveyro, Miriam",Buenos Aires,La Libertad Avanza,2025-12-10,2029-12-09,
HCDN3076,"Noblega, Sebastian",Catamarca,Elijo Catamarca,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3076.jpg
HCDN3197,"Noguera, Javier",Tucumán,Independencia,2025-12-10,2029-12-09,
HCDN1500,"Nuñez, Jose",Santa Fe,Pro,2015-12-10,2019-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1500.jpg
HCDN1500,"Nuñez, Jose",Santa Fe,Pro,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1500.jpg
HCDN1500,"Nuñez, Jose",Santa Fe,Provincias Unidas,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1500.jpg
HCDN2788,"Obeid, Alejandra del Huerto",Santa Fe,Frente de Todos,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2788.jpg
HCDN0453,"Obeid, Jorge Alberto",Santa Fe,Peronismo Federal,2007-12-10,2011-12-09,
HCDN0453,"Obeid, Jorge Alberto",Santa Fe,Frente para la Victoria - Pj,2013-12-10,2014-01-28,
HCDN0960,"Obiglio, Julian Martin",CABA,Pro,2009-12-10,2013-12-09,
HCDN0454,"Ocaña, Graciela",Buenos Aires,Unidad para el Desarrollo Social y la Equidad,2011-12-10,2013-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN0454.jpg
HCDN0454,"Ocaña, Graciela",Buenos Aires,Pro,2017-12-10,2021-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN0454.jpg
HCDN0454,"Ocaña, Graciela",Buenos Aires,Pro,2021-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN0454.jpg
HCDN3203,"Ojeda, Joaquin",Buenos Aires,La Libertad Avanza,2025-12-10,2029-12-09,
HCDN0906,"Oliva, Cristian Rodolfo",Santiago del Estero,Frente Civico por Santiago,2009-12-10,2013-12-09,
HCDN0906,"Oliva, Cristian Rodolfo",Santiago del Estero,Frente Civico por Santiago,2013-12-10,2017-12-09,
HCDN1430,"Olivares, Hector Enrique",La Rioja,Ucr,2011-12-10,2015-12-09,
HCDN1430,"Olivares, Hector Enrique",La Rioja,Ucr,2015-12-10,2019-05-12,
HCDN2400,"Oliveto Lago, Paula",CABA,Coalicion Civica,2017-12-10,2021-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2400.jpg
HCDN2400,"Oliveto Lago, Paula",CABA,Coalicion Civica,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2400.jpg
HCDN1197,"Olmedo, Alfredo Horacio",Salta,Salta Somos Todos,2009-12-10,2013-12-09,
HCDN1197,"Olmedo, Alfredo Horacio",Salta,Salta Somos Todos,2015-12-10,2019-12-09,
HCDN3012,"Olmos, Kelly",CABA,Unión por la Patria,2025-12-10,2029-12-09,
HCDN2909,"Omodeo, Paula",Tucumán,Creo,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2909.jpg
HCDN1286,"Oporto, Mario Nestor",Buenos Aires,Frente para la Victoria - Pj,2011-12-10,2015-12-09,
HCDN1496,"Orellana, Jose Fernando",Tucumán,Justicialista por Tucuman,2015-12-10,2019-10-30,
HCDN2760,"Ormachea, Claudia Beatriz",Buenos Aires,Frente de Todos,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2760.jpg
HCDN3096,"Orozco, Emilia",Salta,La Libertad Avanza,2023-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3096.jpg
HCDN2801,"Orrego, Humberto Marcelo",San Juan,Produccion y Trabajo,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2801.jpg
HCDN1196,"Orsolini, Pablo Eduardo",Chaco,Ucr,2009-12-10,2013-12-09,
HCDN2867,"Ortega, Carlos",Buenos Aires,Frente de Todos,2017-12-10,2021-12-09,
HCDN1287,"Ortiz Correa, Marcia Sara Maria",Catamarca,Frente para la Victoria - Pj,2011-12-10,2015-12-09,
HCDN1288,"Ortiz, Mariela",Jujuy,Frente para la Victoria - Pj,2011-12-10,2015-12-09,
HCDN0633,"Osuna, Blanca Ines",Entre Ríos,Frente de Todos,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN0633.jpg
HCDN0633,"Osuna, Blanca Ines",Entre Ríos,Unión por la Patria,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN0633.jpg
