legislator_id,law_id,acta_id,legislador,distrito,bloque,voto,voto_raw,hcdn_asset_id,foto
HCDN2765,paquete-fiscal-sancion-2024,5276,"Cisneros, Carlos",Tucumán,Unión por la Patria,NEGATIVO,negativo,A51152,https://api.argentinadatos.com/static/diputados/diputados/HCDN2765.jpg
HCDN2768,paquete-fiscal-sancion-2024,5276,"Gutierrez, Carlos",Córdoba,Provincias Unidas,AFIRMATIVO,afirmativo,A51185,https://api.argentinadatos.com/static/diputados/diputados/HCDN2768.jpg
HCDN2773,paquete-fiscal-sancion-2024,5276,"Soria, Martin",Río Negro,Unión por la Patria,NEGATIVO,negativo,A51225,https://api.argentinadatos.com/static/diputados/diputados/HCDN2773.jpg
HCDN2775,paquete-fiscal-sancion-2024,5276,"Gutierrez, Ramiro",Buenos Aires,Unión por la Patria,NEGATIVO,negativo,A51201,https://api.argentinadatos.com/static/diputados/diputados/HCDN2775.jpg
HCDN1447,paquete-fiscal-sancion-2024,5276,"Banfi, Karina",Buenos Aires,Adelante Buenos Aires,AFIRMATIVO,afirmativo,A50906,https://api.argentinadatos.com/static/diputados/diputados/HCDN1447.jpg
HCDN1466,paquete-fiscal-sancion-2024,5276,"Gonzalez, Alvaro",CABA,Pro,AFIRMATIVO,afirmativo,A50919,https://api.argentinadatos.com/static/diputados/diputados/HCDN1466.jpg
HCDN2780,paquete-fiscal-sancion-2024,5276,"Casas, Sergio Guillermo",La Rioja,Unión por la Patria,NEGATIVO,negativo,A51161,https://api.argentinadatos.com/static/diputados/diputados/HCDN2780.jpg
HCDN2980,paquete-fiscal-sancion-2024,5276,"Moyano, Nilda",Santiago del Estero,Unión por la Patria,NEGATIVO,negativo,REC85,https://api.argentinadatos.com/static/diputados/diputados/HCDN2980.jpg
HCDN3007,paquete-fiscal-sancion-2024,5276,"Marino, Juan",Buenos Aires,Unión por la Patria,NEGATIVO,negativo,REC1936,https://api.argentinadatos.com/static/diputados/diputados/HCDN3007.jpg
HCDN2444,paquete-fiscal-sancion-2024,5276,"Schlotthauer, Monica Leticia",Buenos Aires,Izquierda Socialista Fit-Unidad,NEGATIVO,negativo,A51139,https://api.argentinadatos.com/static/diputados/diputados/HCDN2444.jpg
HCDN2784,paquete-fiscal-sancion-2024,5276,"Parola, Maria Graciela",Formosa,Unión por la Patria,NEGATIVO,negativo,A51173,https://api.argentinadatos.com/static/diputados/diputados/HCDN2784.jpg
HCDN2787,paquete-fiscal-sancion-2024,5276,"Ferraro, Maximiliano",CABA,Coalicion Civica,AUSENTE,ausente,A51181,https://api.argentinadatos.com/static/diputados/diputados/HCDN2787.jpg
HCDN2789,paquete-fiscal-sancion-2024,5276,"Martinez, German Pedro",Santa Fe,Unión por la Patria,NEGATIVO,negativo,A51215,https://api.argentinadatos.com/static/diputados/diputados/HCDN2789.jpg
HCDN2791,paquete-fiscal-sancion-2024,5276,"Lopez Rodriguez, Dante",Catamarca,Unión por la Patria,NEGATIVO,negativo,A51235,https://api.argentinadatos.com/static/diputados/diputados/HCDN2791.jpg
HCDN1439,paquete-fiscal-sancion-2024,5276,"Lospennato, Silvia",Buenos Aires,Pro,AFIRMATIVO,afirmativo,A50900,https://api.argentinadatos.com/static/diputados/diputados/HCDN1439.jpg
HCDN0633,paquete-fiscal-sancion-2024,5276,"Osuna, Blanca Ines",Entre Ríos,Unión por la Patria,NEGATIVO,negativo,A51218,https://api.argentinadatos.com/static/diputados/diputados/HCDN0633.jpg
HCDN2799,paquete-fiscal-sancion-2024,5276,"Leiva, Aldo",Chaco,Unión por la Patria,NEGATIVO,negativo,A51210,https://api.argentinadatos.com/static/diputados/diputados/HCDN2799.jpg
HCDN1489,paquete-fiscal-sancion-2024,5276,"Kirchner, Maximo Carlos",Buenos Aires,Unión por la Patria,NEGATIVO,negativo,A50966,https://api.argentinadatos.com/static/diputados/diputados/HCDN1489.jpg
HCDN2803,paquete-fiscal-sancion-2024,5276,"Cipolini, Gerardo",Chaco,Ucr - Unión Cívica Radical,AFIRMATIVO,afirmativo,A51196,https://api.argentinadatos.com/static/diputados/diputados/HCDN2803.jpg
