id,nombre,distrito,source,foto
HCDN2907,"Bertoldi, Tanya",Neuquén,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2907.jpg
HCDN0581,"Bertone, Rosana Andrea",Tierra del Fuego,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN0581.jpg
HCDN1567,"Besada, Alicia Irma",CABA,argentinadatos,
HCDN2881,"Besana, Gabriela",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2881.jpg
HCDN1334,"Bettanin, Juan Carlos",Santa Fe,argentinadatos,
HCDN1461,"Bevilacqua, Gustavo",Buenos Aires,argentinadatos,
HCDN3079,"Bianchetti, Emmanuel",Misiones,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3079.jpg
HCDN0964,"Bianchi, Ivana Maria",San Luis,argentinadatos,
HCDN1242,"Bianchi, Maria del Carmen",CABA,argentinadatos,
HCDN3141,"Biasi, Vanina",CABA,argentinadatos,
HCDN1070,"Bidegain, Gloria Mercedes",Buenos Aires,argentinadatos,
HCDN1243,"Biella Calvet, Bernardo Jose",Salta,argentinadatos,
HCDN3240,"Biella, Bernardo",Salta,argentinadatos+hcdn,
HCDN0855,"Binner, Hermes Juan",Santa Fe,argentinadatos,
HCDN1150,"Blanco de Peralta, Blanca",Santa Cruz,argentinadatos,
HCDN2847,"Bogdanich, Esteban Mateo",Santa Fe,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2847.jpg
HCDN3088,"Bonacci, Rocio",Santa Fe,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3088.jpg
HCDN0798,"Bonasso, Miguel Luis",CABA,argentinadatos,
HCDN3048,"Bongiovanni, Alejandro",Santa Fe,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3048.jpg
HCDN2982,"Borda, Fabian Antonio",Corrientes,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2982.jpg
HCDN3035,"Bordet, Gustavo",Entre Ríos,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3035.jpg
HCDN3183,"Borgatta, Alejandrina",Santa Fe,argentinadatos+hcdn,
HCDN2862,"Bormioli, Lisandro",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2862.jpg
HCDN3042,"Bornoroni, Gabriel",Córdoba,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3042.jpg
HCDN2913,"Borrego, Victoria",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2913.jpg
HCDN0720,"Borsani, Luis Gustavo",Mendoza,argentinadatos,
HCDN1450,"Bossio, Diego Luis",Buenos Aires,argentinadatos,
HCDN2932,"Bouhid, Gustavo",Jujuy,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2932.jpg
HCDN1425,"Boyadjian, Graciela Eunice",Tierra del Fuego,argentinadatos,
HCDN2440,"Bragagnolo, Sebastian",Mendoza,argentinadatos,
HCDN2361,"Brambilla, Sofia",Corrientes,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2361.jpg
HCDN1244,"Brawer, Mara",CABA,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1244.jpg
HCDN1435,"Bregman, Myriam",CABA,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN1435.jpg
HCDN1576,"Brezzo, Maria Eugenia",Córdoba,argentinadatos,
HCDN0858,"Brillo, Jose Ricardo",Neuquén,argentinadatos,
HCDN1479,"Britez, Maria Cristina",Misiones,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1479.jpg
HCDN0552,"Brizuela del Moral, Eduardo Segundo",Catamarca,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN0552.jpg
HCDN1245,"Brizuela y Doria de Cara, Olga Ines",La Rioja,argentinadatos,
HCDN3202,"Brizuela, Adrian",Catamarca,argentinadatos+hcdn,
HCDN1246,"Bromberg, Isaac Benjamin",Tucumán,argentinadatos,
HCDN2956,"Brouwer de Koning, Gabriela",Córdoba,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2956.jpg
HCDN0586,"Brown, Carlos Ramon",Buenos Aires,argentinadatos,
HCDN0859,"Brue, Daniel Agustin",Santiago del Estero,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN0859.jpg
HCDN1577,"Brügge, Juan Fernando",Córdoba,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN1577.jpg
HCDN3190,"Bruno, Eliana",Salta,argentinadatos+hcdn,
HCDN2432,"Bucca, Eduardo",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2432.jpg
