id,list_id,election_id,district_id,order,rol,nombre,elected,legislator_id,match_confidence,mandato_inicio,mandato_fin,foto
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-29,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,29,titular,"PORTORREAL, LEONARDO MIGUEL",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-30,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,30,titular,"MAGASINIK, SONIA EVA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-31,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,31,titular,"MICHEL, GUSTAVO ADOLFO",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-32,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,32,titular,"MORALES, ISABEL CRISTINA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-33,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,33,titular,"MORENO, ARIEL HERNAN",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-34,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,34,titular,"URO, MARIA INES",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-35,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,35,titular,"SCHERMER, HUGO MARTIN",false,,,,,
2019-buenos-aires-frente-de-todos-s-01,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,1,suplente,"MAITE, ALVADO,",false,,,,,
2019-buenos-aires-frente-de-todos-s-02,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,2,suplente,"CESAR, NIETO, JULIO",false,,,,,
2019-buenos-aires-frente-de-todos-s-03,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,3,suplente,"COSTILLA,MARINA, BURGOS",false,,,,,
2019-buenos-aires-frente-de-todos-s-04,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,4,suplente,"LUJAN, EZCURRA, DANIEL",false,,,,,
2019-buenos-aires-frente-de-todos-s-05,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,5,suplente,"MARIANA, OJEDA, EDIT",false,,,,,
2019-buenos-aires-frente-de-todos-s-06,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,6,suplente,"HERIBERTO, REHL GOMEZ, JAVIER",false,,,,,
2019-buenos-aires-frente-de-todos-s-07,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,7,suplente,"MARISA, PEDROZO,",false,,,,,
2019-buenos-aires-frente-de-todos-s-08,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,8,suplente,"FERNANDO, ARAUJO,",false,,,,,
2019-buenos-aires-frente-de-todos-s-09,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,9,suplente,"ZAVALA, RODRIGUEZ, YAMILA",false,,,,,
2019-buenos-aires-frente-de-todos-s-10,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,10,suplente,"LEONARDO, ESCOBEDO, DIEGO",false,,,,,
2019-buenos-aires-frente-de-todos-01,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,1,titular,"SERGIO, MASSA,",true,HCDN1107,exact,2019-12-10,2022-08-02,https://api.argentinadatos.com/static/diputados/diputados/HCDN1107.jpg
2019-buenos-aires-frente-de-todos-02,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,2,titular,"LUANA, VOLNOVICH,",true,HCDN1456,exact,2019-12-10,2019-12-10,https://api.argentinadatos.com/static/diputados/diputados/HCDN1456.jpg
2019-buenos-aires-frente-de-todos-03,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,3,titular,"LEONARDO, GROSSO,",true,HCDN1269,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1269.jpg
2019-buenos-aires-frente-de-todos-04,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,4,titular,"CRISTINA, ALVAREZ RODRIGUEZ, MARIA",true,HCDN0846,exact,2019-12-10,2021-09-21,
2019-buenos-aires-frente-de-todos-05,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,5,titular,"MAXIMO, KIRCHNER,",true,HCDN1489,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1489.jpg
2019-buenos-aires-frente-de-todos-06,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,6,titular,"CECILIA, MOREAU,",true,HCDN1463,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1463.jpg
